Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
24/09/14,Lyon,Lorient,4.0,0.0,H,14.0,13.0,9.0,2.0,5.0,7.0,7.0,12.0,0.0,1.0,0.0,0.0
24/09/14,Montpellier,Monaco,0.0,1.0,A,9.0,13.0,3.0,7.0,4.0,4.0,9.0,15.0,1.0,1.0,0.0,0.0
24/09/14,Nice,Lille,1.0,0.0,H,9.0,6.0,3.0,3.0,11.0,2.0,15.0,16.0,1.0,1.0,0.0,0.0
25/09/14,St Etienne,Bordeaux,1.0,1.0,D,22.0,3.0,7.0,2.0,11.0,1.0,18.0,19.0,1.0,3.0,0.0,0.0
27/09/14,Lille,Bastia,1.0,0.0,H,19.0,8.0,7.0,2.0,5.0,1.0,10.0,20.0,3.0,3.0,0.0,0.0
27/09/14,Lorient,Evian Thonon Gaillard,0.0,2.0,A,16.0,5.0,4.0,3.0,9.0,3.0,12.0,13.0,1.0,2.0,1.0,0.0
27/09/14,Metz,Reims,3.0,0.0,H,17.0,4.0,9.0,1.0,4.0,3.0,14.0,10.0,0.0,1.0,0.0,2.0
27/09/14,Monaco,Nice,0.0,1.0,A,8.0,8.0,1.0,2.0,5.0,2.0,13.0,23.0,2.0,4.0,0.0,0.0
27/09/14,Montpellier,Guingamp,2.0,1.0,H,9.0,11.0,5.0,6.0,5.0,4.0,14.0,21.0,0.0,3.0,0.0,1.0
27/09/14,Toulouse,Paris SG,1.0,1.0,D,11.0,8.0,5.0,2.0,4.0,5.0,23.0,16.0,0.0,3.0,0.0,0.0
28/09/14,Bordeaux,Rennes,2.0,1.0,H,14.0,12.0,4.0,6.0,3.0,3.0,8.0,8.0,1.0,1.0,0.0,0.0
28/09/14,Lens,Caen,0.0,0.0,D,9.0,13.0,2.0,2.0,1.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0
28/09/14,Marseille,St Etienne,2.0,1.0,H,14.0,11.0,8.0,5.0,6.0,1.0,8.0,12.0,1.0,2.0,0.0,0.0
28/09/14,Nantes,Lyon,1.0,1.0,D,14.0,10.0,4.0,5.0,5.0,3.0,13.0,9.0,2.0,1.0,0.0,0.0
03/10/14,Reims,Bordeaux,1.0,0.0,H,7.0,12.0,0.0,3.0,6.0,4.0,16.0,10.0,2.0,2.0,0.0,0.0
04/10/14,Bastia,Lorient,0.0,2.0,A,6.0,14.0,3.0,6.0,3.0,3.0,17.0,15.0,1.0,2.0,0.0,0.0
04/10/14,Caen,Marseille,1.0,2.0,A,11.0,22.0,4.0,9.0,4.0,9.0,10.0,11.0,0.0,1.0,0.0,0.0
04/10/14,Evian Thonon Gaillard,Metz,3.0,0.0,H,8.0,8.0,2.0,3.0,2.0,3.0,22.0,24.0,1.0,5.0,0.0,0.0
04/10/14,Nice,Montpellier,1.0,1.0,D,10.0,7.0,2.0,2.0,4.0,3.0,13.0,16.0,1.0,3.0,0.0,0.0
04/10/14,Rennes,Lens,2.0,0.0,H,16.0,8.0,7.0,1.0,6.0,7.0,9.0,7.0,1.0,1.0,0.0,0.0
05/10/14,Guingamp,Nantes,0.0,1.0,A,16.0,12.0,4.0,3.0,6.0,5.0,9.0,16.0,1.0,3.0,0.0,0.0
05/10/14,Lyon,Lille,3.0,0.0,H,14.0,12.0,6.0,2.0,3.0,1.0,21.0,20.0,1.0,4.0,0.0,0.0
